message_type,timestamp,garmin_product,manufacturer,number,product,serial_number,software_version,time_created,type,unknown_0,unknown_1,unknown_2,unknown_253,unknown_3,unknown_4,unknown_5,unknown_6,unknown_9
file_id,,4644,garmin,657,,3617778896,,2026-04-08 04:02:32,44,,,,,,,,,
file_creator,,,,,,,1637,,,,,,,1,1,,,
device_info,2026-04-08 04:02:32,,,,4644,3617778896,16.37,,,,,,,,,,,
unknown_241,,,,,,,,,,1144587752,0,,1144555352,,,,,
unknown_284,,,,,,,,,,859,1144555352,0,,0,0,2,,
unknown_410,,,,,,,,,,420,420,3,1144555356,0,3,3,0,1
unknown_284,,,,,,,,,,855,1144555565,0,,0,0,2,,
unknown_410,,,,,,,,,,420,420,3,1144555570,0,3,3,0,1
unknown_284,,,,,,,,,,851,1144555854,0,,0,0,2,,
unknown_410,,,,,,,,,,420,420,3,1144555860,0,3,3,0,1
